dataset,split,seed,device,model,seconds,hours,human,source,note
bace,scaffold,2,gpu,GIN (3D),11594.0,3.2206,3h 13m 14s,history_mtime,approx from history file mtime deltas
bace,scaffold,2,gpu,SMILES LSTM,36565.0,10.1569,10h 9m 25s,history_mtime,approx from history file mtime deltas
bace,scaffold,2,gpu,SchNet (3D coords),24766.0,6.8794,6h 52m 46s,history_mtime,approx from history file mtime deltas
bace,scaffold,3,gpu,D-MPNN (2D),87869.0,24.4081,24h 24m 29s,history_mtime,approx from history file mtime deltas
bace,scaffold,3,gpu,GIN (3D),4707.0,1.3075,1h 18m 27s,history_mtime,approx from history file mtime deltas
bace,scaffold,3,gpu,SMILES LSTM,34429.0,9.5636,9h 33m 49s,history_mtime,approx from history file mtime deltas
bace,scaffold,3,gpu,SchNet (3D coords),23017.0,6.3936,6h 23m 37s,history_mtime,approx from history file mtime deltas
bace,scaffold,4,gpu,D-MPNN (2D),77328.0,21.48,21h 28m 48s,history_mtime,approx from history file mtime deltas
bace,scaffold,4,gpu,GIN (3D),15689.0,4.3581,4h 21m 29s,history_mtime,approx from history file mtime deltas
bace,scaffold,4,gpu,SMILES LSTM,22752.0,6.32,6h 19m 12s,history_mtime,approx from history file mtime deltas
bace,scaffold,4,gpu,SchNet (3D coords),35926.0,9.9794,9h 58m 46s,history_mtime,approx from history file mtime deltas
bbbp,random,0,gpu,D-MPNN (2D),76293.01,21.1925,21h 11m 33s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,0,gpu,GIN (2D),184.88,0.0514,3m 5s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,0,gpu,GIN (3D),224.49,0.0624,3m 44s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,0,gpu,SMILES LSTM,1420.9,0.3947,23m 41s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,0,gpu,SchNet (3D coords),301.64,0.0838,5m 2s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,1,gpu,D-MPNN (2D),90495.46,25.1376,25h 8m 15s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,1,gpu,GIN (2D),248.48,0.069,4m 8s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,1,gpu,GIN (3D),404.44,0.1123,6m 44s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,1,gpu,SMILES LSTM,1091.05,0.3031,18m 11s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,1,gpu,SchNet (3D coords),483.42,0.1343,8m 3s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,2,gpu,D-MPNN (2D),70767.96,19.6578,19h 39m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,2,gpu,GIN (2D),206.18,0.0573,3m 26s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,2,gpu,GIN (3D),244.42,0.0679,4m 4s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,2,gpu,SMILES LSTM,733.89,0.2039,12m 14s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,2,gpu,SchNet (3D coords),363.44,0.101,6m 3s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,3,gpu,D-MPNN (2D),83365.56,23.1571,23h 9m 26s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,3,gpu,GIN (2D),223.31,0.062,3m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,3,gpu,GIN (3D),265.69,0.0738,4m 26s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,3,gpu,SMILES LSTM,1108.65,0.308,18m 29s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,3,gpu,SchNet (3D coords),355.97,0.0989,5m 56s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,4,gpu,D-MPNN (2D),72797.7,20.2216,20h 13m 18s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,4,gpu,GIN (2D),275.99,0.0767,4m 36s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,4,gpu,GIN (3D),319.68,0.0888,5m 20s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,4,gpu,SMILES LSTM,687.7,0.191,11m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,random,4,gpu,SchNet (3D coords),411.63,0.1143,6m 52s,notebook_cell,Jupyter cell wall time (HPO + final train)
bbbp,scaffold,0,gpu,D-MPNN (2D),56814.0,15.7817,15h 46m 54s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,0,gpu,GIN (3D),1607.0,0.4464,26m 47s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,0,gpu,SMILES LSTM,78500.0,21.8056,21h 48m 20s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,0,gpu,SchNet (3D coords),19371.0,5.3808,5h 22m 51s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,1,gpu,D-MPNN (2D),45336.0,12.5933,12h 35m 36s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,1,gpu,GIN (3D),2089.0,0.5803,34m 49s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,1,gpu,SMILES LSTM,49841.0,13.8447,13h 50m 41s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,1,gpu,SchNet (3D coords),20676.0,5.7433,5h 44m 36s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,2,gpu,D-MPNN (2D),54148.0,15.0411,15h 2m 28s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,2,gpu,GIN (3D),1125.0,0.3125,18m 45s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,2,gpu,SMILES LSTM,44365.0,12.3236,12h 19m 25s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,2,gpu,SchNet (3D coords),11516.0,3.1989,3h 11m 56s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,3,gpu,D-MPNN (2D),46778.0,12.9939,12h 59m 38s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,3,gpu,GIN (3D),1391.0,0.3864,23m 11s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,3,gpu,SMILES LSTM,33650.0,9.3472,9h 20m 50s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,3,gpu,SchNet (3D coords),15976.0,4.4378,4h 26m 16s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,4,gpu,D-MPNN (2D),51411.0,14.2808,14h 16m 51s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,4,gpu,GIN (3D),1558.0,0.4328,25m 58s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,4,gpu,SMILES LSTM,57442.0,15.9561,15h 57m 22s,history_mtime,approx from history file mtime deltas
bbbp,scaffold,4,gpu,SchNet (3D coords),17572.0,4.8811,4h 52m 52s,history_mtime,approx from history file mtime deltas
esol,random,0,gpu,D-MPNN (2D),27638.26,7.6773,7h 40m 38s,notebook_cell,Jupyter cell wall time (HPO + final train)
esol,random,0,gpu,GIN (2D),151.35,0.042,2m 31s,notebook_cell,Jupyter cell wall time (HPO + final train)
esol,random,0,gpu,GIN (3D),188.64,0.0524,3m 9s,notebook_cell,Jupyter cell wall time (HPO + final train)
